ligand,receptor,,,,,,,,,,,,,,,,,
A2M,LRP1,,,,,,,,,,,,,,,,,
AANAT,MTNR1A,,,,,,,,,,,,,,,,,
AANAT,MTNR1B,,,,,,,,,,,,,,,,,
ACE,AGTR2,,,,,,,,,,,,,,,,,
ACE,BDKRB2,,,,,,,,,,,,,,,,,
ACTR2,ADRB2,,,,,,,,,,,,,,,,,
ACTR2,LDLR,,,,,,,,,,,,,,,,,
ACTR2,LRP2,,,,,,,,,,,,,,,,,
ADAM10,AXL,,,,,,,,,,,,,,,,,
ADAM10,EPHA3,,,,,,,,,,,,,,,,,
ADAM12,ITGA9,,,,,,,,,,,,,,,,,
ADAM12,ITGB1,,,,,,,,,,,,,,,,,
ADAM12,SDC4,,,,,,,,,,,,,,,,,
ADAM15,ITGA5,,,,,,,,,,,,,,,,,
ADAM15,ITGA9,,,,,,,,,,,,,,,,,
ADAM15,ITGAV,,,,,,,,,,,,,,,,,
ADAM15,ITGB1,,,,,,,,,,,,,,,,,
ADAM15,ITGB3,,,,,,,,,,,,,,,,,
ADAM17,ERBB4,,,,,,,,,,,,,,,,,
ADAM17,ITGA5,,,,,,,,,,,,,,,,,
ADAM17,ITGB1,,,,,,,,,,,,,,,,,
ADAM17,NOTCH1,,,,,,,,,,,,,,,,,
ADAM23,ITGA5,,,,,,,,,,,,,,,,,
ADAM23,ITGB3,,,,,,,,,,,,,,,,,
ADAM28,ITGA4,,,,,,,,,,,,,,,,,
ADAM2,CD9,,,,,,,,,,,,,,,,,
ADAM2,ITGA6,,,,,,,,,,,,,,,,,
ADAM2,ITGA9,,,,,,,,,,,,,,,,,
ADAM2,ITGB1,,,,,,,,,,,,,,,,,
ADAM2,ITGB7,,,,,,,,,,,,,,,,,
ADAM9,ITGA3,,,,,,,,,,,,,,,,,
ADAM9,ITGA6,15,,,,,,,,,,,,,,,,
ADAM9,ITGAV,15,,,,,,,,,,,,,,,,
ADAM9,ITGB1,,,,,,,,,,,,,,,,,
ADAM9,ITGB5,,,,,,,,,,,,,,,,,
ADCYAP1,ADCYAP1R1,HPMR,10100920,8703026,10583729,16930633,11931347,8253796,,,,,,,,,,
ADCYAP1,ADRB2,,,,,,,,,,,,,,,,,
ADCYAP1,ADRB3,,,,,,,,,,,,,,,,,
ADCYAP1,GPR20,,,,,,,,,,,,,,,,,
ADCYAP1,GPR84,,,,,,,,,,,,,,,,,
ADCYAP1,PTH1R,,,,,,,,,,,,,,,,,
ADCYAP1,RAMP2,,,,,,,,,,,,,,,,,
ADCYAP1,RAMP3,,,,,,,,,,,,,,,,,
ADCYAP1,SCTR,,,,,,,,,,,,,,,,,
ADCYAP1,TSHR,,,,,,,,,,,,,,,,,
ADCYAP1,VIPR1,fantom5,11897681,9928018,11931347,16930633,8791009,12429744,,,,,,,,,,
ADCYAP1,VIPR2,11978642,9928018,11931347,8146174,,,,,,,,,,,,,
ADIPOQ,ADIPOR1,,,,,,,,,,,,,,,,,
ADIPOQ,ADIPOR2,,,,,,,,,,,,,,,,,
ADM2,ADCYAP1R1,,,,,,,,,,,,,,,,,
ADM2,ADRB2,,,,,,,,,,,,,,,,,
ADM2,ADRB3,,,,,,,,,,,,,,,,,
ADM2,CALCR,,,,,,,,,,,,,,,,,
ADM2,CALCRL,,,,,,,,,,,,,,,,,
ADM2,GPR20,,,,,,,,,,,,,,,,,
ADM2,GPR84,,,,,,,,,,,,,,,,,
ADM2,PTH1R,,,,,,,,,,,,,,,,,
ADM2,RAMP1,,,,,,,,,,,,,,,,,
ADM2,RAMP2,,,,,,,,,,,,,,,,,
ADM2,RAMP3,,,,,,,,,,,,,,,,,
ADM2,TSHR,,,,,,,,,,,,,,,,,
ADM2,VIPR1,,,,,,,,,,,,,,,,,
ADM,ADCYAP1R1,,,,,,,,,,,,,,,,,
ADM,ADRB2,,,,,,,,,,,,,,,,,
ADM,ADRB3,,,,,,,,,,,,,,,,,
ADM,CALCR,,,,,,,,,,,,,,,,,
ADM,CALCRL,,,,,,,,,,,,,,,,,
ADM,GPR182,,,,,,,,,,,,,,,,,
ADM,GPR20,,,,,,,,,,,,,,,,,
ADM,GPR84,,,,,,,,,,,,,,,,,
ADM,MRGPRX2,16,,,,,,,,,,,,,,,,
ADM,PTH1R,,,,,,,,,,,,,,,,,
ADM,RAMP2,,,,,,,,,,,,,,,,,
ADM,RAMP3,,,,,,,,,,,,,,,,,
ADM,TSHR,,,,,,,,,,,,,,,,,
ADM,VIPR1,,,,,,,,,,,,,,,,,
AGRN,ATP1A3,,,,,,,,,,,,,,,,,
AGRN,ITGB1,,,,,,,,,,,,,,,,,
AGRN,LRP1,,,,,,,,,,,,,,,,,
AGRN,LRP2,,,,,,,,,,,,,,,,,
AGRN,LRP4,,,,,,,,,,,,,,,,,
AGRN,MUSK,,,,,,,,,,,,,,,,,
AGRP,MC3R,9311920,9819197,9893984,11747427,,,,,,,,,,,,,
AGRP,MC4R,9311920,9299416,10318826,11747427,12815165,,,,,,,,,,,,
AGRP,MC5R,,,,,,,,,,,,,,,,,
AGRP,SDC3,,,,,,,,,,,,,,,,,
AGT,ADRA2A,,,,,,,,,,,,,,,,,
AGT,AGTR1,10993080,15930094,21464395,10193788,12006574,15930094,,,,,,,,,,,
AGT,AGTR2,8315512,8185599,17138938,21464395,2775266,7850406,8242249,8185599,,,,,,,,,
AGT,GRM7,,,,,,,,,,,,,,,,,
AGT,LRP2,,,,,,,,,,,,,,,,,
AGT,MAS1,,,,,,,,,,,,,,,,,
AGT,MTNR1A,,,,,,,,,,,,,,,,,
AHSG,INSR,,,,,,,,,,,,,,,,,
ALB,LRP2,,,,,,,,,,,,,,,,,
ALOX5AP,ALOX5,,,,,,,,,,,,,,,,,
AMELX,LAMP1,,,,,,,,,,,,,,,,,
AMELY,LAMP1,,,,,,,,,,,,,,,,,
AMH,ACVR1,,,,,,,,,,,,,,,,,
AMH,AMHR2,7997230,889,,,,,,,,,,,,,,,
AMH,EGFR,,,,,,,,,,,,,,,,,
ANGPT1,ITGA5,,,,,,,,,,,,,,,,,
ANGPT1,ITGB1,,,,,,,,,,,,,,,,,
ANGPT1,TEK,8980223,9723709,8980223,12427764,8980224,,,,,,,,,,,,
ANGPT1,TIE1,,,,,,,,,,,,,,,,,
ANGPT2,TEK,972,,,,,,,,,,,,,,,,
ANGPT2,TIE1,,,,,,,,,,,,,,,,,
ANGPT4,TEK,,,,,,,,,,,,,,,,,
ANGPT4,TIE1,,,,,,,,,,,,,,,,,
ANGPTL1,TEK,,,,,,,,,,,,,,,,,
ANGPTL2,TIE1,,,,,,,,,,,,,,,,,
ANGPTL3,ITGA5,,,,,,,,,,,,,,,,,
ANGPTL3,ITGAV,,,,,,,,,,,,,,,,,
ANGPTL3,ITGB3,,,,,,,,,,,,,,,,,
ANGPTL4,TIE1,,,,,,,,,,,,,,,,,
ANOS1,FGFR1,,,,,,,,,,,,,,,,,
ANOS1,SDC2,,,,,,,,,,,,,,,,,
ANXA1,ADRA2A,,,,,,,,,,,,,,,,,
ANXA1,DYSF,,,,,,,,,,,,,,,,,
